# GENERATED by analysis/run_index.py from the packed run_manifest.json files and streams -- do not edit.
# The prose half of the registry is runs_registry.tsv.
run	group	provenance	binary	binary_version	preflight	eps	eps2	max_level	L	N1	stop_time	restart	H0	seed_check	name_check	binary_check	intent_check
ctrl_rest_d14	03_two_throats	reconstructed	main3d.gnu.MPI.CUDA.ex	unstamped	none (launched before 2026-09-24)	0	0	3	64.0	128	15.0		3.0199118497e-03	n/a	ok	unknown	ok
ctrl_rest_d16	03_two_throats	reconstructed	main3d.gnu.MPI.CUDA.ex	unstamped	none (launched before 2026-09-24)	0	0	3	64.0	128	15.0		3.0525528004e-03	n/a	ok	unknown	ok
ctrl_rest_d18	03_two_throats	reconstructed	main3d.gnu.MPI.CUDA.ex	unstamped	none (launched before 2026-09-24)	0	0	3	64.0	128	15.0		3.0799387494e-03	n/a	ok	unknown	ok
orbit_d12_p012	03_two_throats	reconstructed			none (launched before 2026-09-24)	0	0	3	64.0	128	60.0		2.9789951574e-03	n/a	ok	unknown	ok
merge_headon_flip_d12	04_binary_headon	reconstructed	main3d.gnu.MPI.CUDA.ex	unstamped	none (launched before 2026-09-24)	0	0	3	64.0	128	60.0		2.9899481192e-03	n/a	ok	unknown	ok
merge_headon_flip_d6_m05_t100	04_binary_headon	reconstructed	main3d_boost_2026-09-08.ex	unstamped	none (launched before 2026-09-24)	0	0	3	64.0	128	100.0		4.4340408703e-03	n/a	ok	unknown	ok
merge_headon_flip_d8_eta4_lvl5_t040_r03200	04_binary_headon	reconstructed	main3d_boost_2026-09-08.ex	unstamped	none (launched before 2026-09-24)	0	0	5	64.0	128	40.0	yes		n/a	ok	ok	checkpoints asked for (interval/keep) with checkpoint output off: none written
merge_headon_flip_d8_eta4_t030	04_binary_headon	reconstructed	main3d_boost_2026-09-08.ex	unstamped	none (launched before 2026-09-24)	0	0	3	64.0	128	30.0		2.8827157680e-03	n/a	ok	ok	checkpoints asked for (interval/keep) with checkpoint output off: none written
merge_headon_flip_d8_eta4_t050	04_binary_headon	reconstructed	main3d_boost_2026-09-08.ex	unstamped	none (launched before 2026-09-24)	0	0	3	64.0	128	50.0		2.8827157680e-03	n/a	ok	ok	ok
merge_headon_flip_d8_lp2_lvl5_t030_OOMFAIL_2026-09-22	04_binary_headon	reconstructed			none (launched before 2026-09-24)	0	0	5	64.0	128	30.0		2.8827157680e-03	n/a	ok	unknown	ok
merge_headon_flip_d8_lp2_t030	04_binary_headon	reconstructed	main3d_boost_2026-09-08.ex	unstamped	none (launched before 2026-09-24)	0	0	3	64.0	128	30.0		2.8827157680e-03	n/a	ok	ok	checkpoints asked for (interval/keep) with checkpoint output off: none written
