# longest merger arm p=0.12, all Weyl segments stitched (r03000 joined 0-50.5 | m9b_fillwide80 50.5-79.5 | m9b_fillwide100 80.5-97)
# time Re_m0(R14) Im_m0(R14) Re_m2(R14) Im_m2(R14) Re_m0(R30) Im_m0(R30) Re_m2(R30) Im_m2(R30)
3.8500000000e+01 1.7108089428e-02 -7.7480150117e-14 -2.3950510049e-02 -5.7198910360e-03 -5.2486951620e-03 1.3616096979e-15 6.1908317015e-03 2.3061003491e-03
3.9000000000e+01 1.6694765941e-02 -4.4861317894e-14 -2.3300563153e-02 -6.6718839120e-03 -4.7197450737e-03 -8.9477680636e-15 5.4912047638e-03 2.3310406001e-03
3.9500000000e+01 1.6159989998e-02 -5.6458608405e-15 -2.2459201149e-02 -7.6202603356e-03 -4.1001659917e-03 -1.0158804950e-14 4.6845305303e-03 2.3496701770e-03
4.0000000000e+01 1.5489752788e-02 -9.0201148417e-14 -2.1428392253e-02 -8.5523591092e-03 -3.3987662271e-03 5.6661549029e-15 3.7777195288e-03 2.3612868345e-03
4.0500000000e+01 1.4686658901e-02 -4.6265682258e-13 -2.0213743668e-02 -9.4571635416e-03 -2.6265522766e-03 2.6954451854e-15 2.7785255628e-03 2.3644361485e-03
4.1000000000e+01 1.3758542616e-02 -3.7565854968e-13 -1.8818770019e-02 -1.0318256939e-02 -1.7887364780e-03 4.0308942707e-15 1.6971086105e-03 2.3580022069e-03
4.1500000000e+01 1.2712753125e-02 -4.2105577515e-13 -1.7250486136e-02 -1.1126789117e-02 -8.9153384824e-04 -2.4137770843e-15 5.4547008178e-04 2.3412652071e-03
4.2000000000e+01 1.1558927097e-02 -2.4120480190e-13 -1.5519845712e-02 -1.1872153229e-02 5.1194749447e-05 -8.4094870959e-15 -6.6260386349e-04 2.3137345616e-03
4.2500000000e+01 1.0305022735e-02 -3.4306011401e-13 -1.3640070612e-02 -1.2542700334e-02 1.0273983899e-03 1.7766753238e-14 -1.9130706421e-03 2.2745880739e-03
4.3000000000e+01 8.9608404643e-03 9.1491491304e-14 -1.1626607215e-02 -1.3131756657e-02 2.0269538882e-03 1.2393980902e-14 -3.1919669291e-03 2.2230882429e-03
4.3500000000e+01 7.5281659941e-03 -2.3836621831e-13 -9.4966127318e-03 -1.3628053790e-02 3.0404909004e-03 5.1191833772e-15 -4.4856055137e-03 2.1584180415e-03
4.4000000000e+01 6.0387551997e-03 4.4477815257e-14 -7.2720263765e-03 -1.4021004442e-02 4.0531532359e-03 -1.2534478257e-14 -5.7807253212e-03 2.0796352378e-03
4.4500000000e+01 4.4956321050e-03 6.0485030341e-15 -4.9682299043e-03 -1.4303524257e-02 5.0547314702e-03 -1.8492097197e-14 -7.0661365009e-03 1.9849929173e-03
