# time  x_neck  R_neck  R_neck_flat  h22_neck  alpha_neck  rate_neck  M_MS_neck  phi_neck  x_hl  R_hl  alpha_hl  M_hl  x_hk  R_hk  alpha_hk  M_hk
2.2600000000e+02  3.8750000000e+01  1.4588718875e+01  1.0543211097e+01  1.8814130637e+00  1.5321892340e-02  5.8047390070e-02  1.2521866776e+01  -7.4608689290e-01  3.7979778412e+01  1.4621807161e+01  1.5194298790e-02  7.3056213454e+00  4.1399465244e+01  1.5613248880e+01  1.3792136210e-02  3.2065308801e+00
2.2800000000e+02  3.9250000000e+01  1.4616656735e+01  1.0562326003e+01  1.8966077224e+00  1.5174724442e-02  6.8027300151e-02  1.4410913889e+01  -7.4129740607e-01  3.8288289111e+01  1.4645953915e+01  1.5061108469e-02  7.3219039053e+00  4.9918226104e+01  5.3999623271e+01  1.0768809985e-02  1.5378995784e+01
2.3000000000e+02  3.9250000000e+01  1.4643421143e+01  1.0552488730e+01  1.8870573683e+00  1.4994922120e-02  5.3160441902e-02  1.1696382259e+01  -7.4929782512e-01  3.8566057071e+01  1.4674609605e+01  1.4899395042e-02  7.3336974000e+00  4.2495597205e+01  1.6331764977e+01  1.2533325883e-02  8.0627641259e+00
2.3200000000e+02  3.9750000000e+01  1.4668200213e+01  1.0562886231e+01  1.9016920645e+00  1.4858140044e-02  5.9656658753e-02  1.2932404975e+01  -7.4473904649e-01  3.8860648004e+01  1.4700207864e+01  1.4751098494e-02  7.3499026878e+00  4.2432948689e+01  1.5833369043e+01  1.3162193966e-02  5.6183900847e+00
2.3400000000e+02  3.9750000000e+01  1.4697360875e+01  1.0588161144e+01  1.8920005271e+00  1.4708843757e-02  4.6409980437e-02  1.0567382126e+01  -7.5229899832e-01  3.9152879359e+01  1.4725919682e+01  1.4621273857e-02  7.3625416852e+00  5.0913358371e+01  5.4774989165e+01  1.0409861994e-02  6.9803989244e+00
2.3600000000e+02  4.0500000000e+01  1.4714500820e+01  1.0571131296e+01  1.9181823314e+00  1.4637929269e-02  6.9694228905e-02  1.4688177124e+01  -7.4151510545e-01  3.9463090530e+01  1.4751093522e+01  1.4514911873e-02  7.3675377739e+00  5.1212614556e+01  5.4924170184e+01  1.0212155888e-02  -2.6157519266e+01
2.3800000000e+02  4.0500000000e+01  1.4738832397e+01  1.0574414064e+01  1.9086519302e+00  1.4546210011e-02  5.2518256646e-02  1.1772619720e+01  -7.4940231341e-01  3.9789554491e+01  1.4773042638e+01  1.4441527467e-02  7.3702253980e+00  4.3388574929e+01  1.5993394869e+01  1.2822903867e-02  4.4203539789e+00
2.4000000000e+02  4.0500000000e+01  1.4771353744e+01  1.0593597071e+01  1.8992433859e+00  1.4459748309e-02  3.9711439337e-02  9.4853655451e+00  -7.5639625764e-01  4.0059547307e+01  1.4800440389e+01  1.4376875384e-02  7.3531130614e+00  4.3476682506e+01  1.5724769462e+01  1.3202801552e-02  7.0068104627e+00
2.4200000000e+02  4.1500000000e+01  1.4787053754e+01  1.0592366740e+01  1.9370575328e+00  1.4485494113e-02  7.6451727657e-02  1.5435901511e+01  -7.3975798055e-01  4.0421473456e+01  1.4816368981e+01  1.4360709307e-02  7.3969352074e+00  5.2223282233e+01  5.5809327034e+01  9.8191408977e-03  -4.2222528527e+01
2.4400000000e+02  4.1500000000e+01  1.4806938546e+01  1.0587130702e+01  1.9278564146e+00  1.4456807375e-02  5.6371031421e-02  1.2486896608e+01  -7.4778269116e-01  4.0660408479e+01  1.4846018815e+01  1.4326941739e-02  7.2916788109e+00  4.4229454692e+01  1.6042855130e+01  1.2808373897e-02  1.0125466004e+00
