# time  R_areal_min  r_at_R_areal_min
1.7200000000000000e+02  2.5225422188172160e+00  5.3308506591349936e-01
1.7400000000000000e+02  2.4946897277879603e+00  5.3308506591349936e-01
1.7599999999999901e+02  2.4675410056377554e+00  5.3308506591349936e-01
1.7799999999999901e+02  2.4410679122130312e+00  5.3308506591349936e-01
1.7999999999999801e+02  2.4152438826586629e+00  5.3308506591349936e-01
1.8199999999999801e+02  2.3900438042257002e+00  5.3308506591349936e-01
1.8399999999999801e+02  2.3654439154150522e+00  5.3308506591349936e-01
1.8599999999999699e+02  2.3414217115759048e+00  5.3308506591349936e-01
1.8799999999999699e+02  2.3179558523399271e+00  5.3308506591349936e-01
1.8999999999999599e+02  2.2950260802870019e+00  5.3308506591349936e-01
1.9199999999999599e+02  2.2726131558013276e+00  5.3308506591349936e-01
1.9399999999999599e+02  2.2506987868089658e+00  5.3308506591349936e-01
1.9599999999999500e+02  2.2292655654813482e+00  5.3308506591349936e-01
1.9799999999999500e+02  2.2082969125193235e+00  5.3308506591349936e-01
1.9999999999999400e+02  2.1877770243645762e+00  5.3308506591349936e-01
2.0199999999999400e+02  2.1676908258044318e+00  5.3308506591349936e-01
2.0399999999999400e+02  2.1480239264309597e+00  5.3308506591349936e-01
2.0599999999999301e+02  2.1287625807702635e+00  5.3308506591349936e-01
2.0799999999999301e+02  2.1098936516234268e+00  5.3308506591349936e-01
2.0999999999999201e+02  2.0914045762452451e+00  5.3308506591349936e-01
2.1199999999999201e+02  2.0732833349778157e+00  5.3308506591349936e-01
2.1399999999999201e+02  2.0555184220568088e+00  5.3308506591349936e-01
2.1599999999999099e+02  2.0380988183634012e+00  5.3308506591349936e-01
2.1799999999999099e+02  2.0210139659228954e+00  5.3308506591349936e-01
2.1999999999999099e+02  2.0042537440216437e+00  5.3308506591349936e-01
2.2199999999999000e+02  1.9878084446684057e+00  5.3308506591349936e-01
2.2399999999999000e+02  1.9716687269847153e+00  5.3308506591349936e-01
2.2599999999998900e+02  1.9558256591641496e+00  5.3308506591349936e-01
2.2799999999998900e+02  1.9402706645357080e+00  5.3308506591349936e-01
2.2999999999998900e+02  1.9249955055273751e+00  5.3308506591349936e-01
2.3199999999998801e+02  1.9099922631619513e+00  5.3308506591349936e-01
2.3399999999998801e+02  1.8952533243029666e+00  5.3308506591349936e-01
2.3599999999998701e+02  1.8807713662848213e+00  5.3308506591349936e-01
2.3799999999998701e+02  1.8665393420757390e+00  5.3308506591349936e-01
2.3999999999998701e+02  1.8525504722167225e+00  5.3308506591349936e-01
2.4199999999998599e+02  1.8387981875595159e+00  5.3308506591349936e-01
2.4399999999998599e+02  1.8252762403010385e+00  5.3308506591349936e-01
2.4599999999998499e+02  1.8119786009699275e+00  5.3308506591349936e-01
2.4799999999998499e+02  1.7988994457245719e+00  5.3308506591349936e-01
2.4999999999998499e+02  1.7860331556231122e+00  5.3308506591349936e-01
2.5199999999998400e+02  1.7733743081606441e+00  5.3308506591349936e-01
2.5399999999998400e+02  1.7609176674970231e+00  5.3308506591349936e-01
2.5599999999998300e+02  1.7486581764011668e+00  5.3308506591349936e-01
2.5799999999998403e+02  1.7365909488125513e+00  5.3308506591349936e-01
2.5999999999998499e+02  1.7247112629080865e+00  5.3308506591349936e-01
2.6199999999998602e+02  1.7130145551545322e+00  5.3308506591349936e-01
2.6399999999998698e+02  1.7014964140771602e+00  5.3308506591349936e-01
