# time  f_op  f_geo  geo_trustworthy  max_local_speed  superluminal_fraction  max_shift  structure_coherence  reachable  n_rays  n_reached  max_h_rel_drift  f_geo_evol  f_geo_evol_ok
4.1599999999976700e+02  0.0000000000000000e+00  2.3185514823440305e-03  1  1.0182065704206904e+00  0.0000000000000000e+00  2.1265836740788279e-03  nan  1  5  5  1.0344985446207986e-05  0.0000000000000000e+00  0
4.1999999999976302e+02  0.0000000000000000e+00  2.6960237858828255e-03  1  1.0183214049572054e+00  0.0000000000000000e+00  2.1537522953567608e-03  nan  1  5  5  1.2402462664366367e-05  0.0000000000000000e+00  0
4.2399999999975898e+02  0.0000000000000000e+00  3.0752322341225870e-03  1  1.0183933876688049e+00  0.0000000000000000e+00  2.1869827829199971e-03  nan  1  5  5  1.4476728359179542e-05  0.0000000000000000e+00  0
4.2799999999975603e+02  0.0000000000000000e+00  3.4583700873887691e-03  1  1.0184640515058094e+00  0.0000000000000000e+00  2.2116676748057270e-03  nan  1  5  5  1.6586742540496043e-05  0.0000000000000000e+00  0
4.3199999999975199e+02  5.1331700259245006e-05  3.8445350881191297e-03  1  1.0185718727941797e+00  0.0000000000000000e+00  2.2473936136122950e-03  nan  1  5  5  1.8776109456811857e-05  0.0000000000000000e+00  0
4.3599999999974801e+02  3.5539272582090035e-04  4.2372287434628338e-03  1  1.0186037837262607e+00  0.0000000000000000e+00  2.2687871418337500e-03  nan  1  5  5  2.1005889134683309e-05  0.0000000000000000e+00  0
4.3999999999974500e+02  0.0000000000000000e+00  1.6781058342824676e-03  1  1.0187335955125543e+00  0.0000000000000000e+00  2.3074113106054620e-03  nan  1  5  5  6.5119571978407972e-06  0.0000000000000000e+00  0
4.4399999999974102e+02  0.0000000000000000e+00  2.0632351639784628e-03  1  1.0188010597617640e+00  0.0000000000000000e+00  2.3372676566698124e-03  nan  1  5  5  8.3683704195670764e-06  0.0000000000000000e+00  0
4.4799999999973801e+02  0.0000000000000000e+00  2.4454737755209687e-03  1  1.0188862600698492e+00  0.0000000000000000e+00  2.3662318987622507e-03  nan  1  5  5  1.0274828682529989e-05  0.0000000000000000e+00  0
4.5199999999973397e+02  0.0000000000000000e+00  2.8263104749579352e-03  1  1.0189837810720288e+00  0.0000000000000000e+00  2.3996990044597385e-03  nan  1  5  5  1.2219530155163836e-05  0.0000000000000000e+00  0
4.5599999999972999e+02  0.0000000000000000e+00  3.2067474851279103e-03  1  1.0190243872097817e+00  0.0000000000000000e+00  2.4245962637487422e-03  nan  1  5  5  1.4177624037187442e-05  0.0000000000000000e+00  0
4.5999999999972698e+02  0.0000000000000000e+00  3.5886381839931062e-03  1  1.0191561890044736e+00  0.0000000000000000e+00  2.4611039782610070e-03  nan  1  5  5  1.6165751641326510e-05  0.0000000000000000e+00  0
4.6399999999972300e+02  0.0000000000000000e+00  3.9732286483349115e-03  1  1.0192126858941346e+00  0.0000000000000000e+00  2.4784743073269075e-03  nan  1  5  5  1.8203148284069914e-05  0.0000000000000000e+00  0
4.6799999999971902e+02  7.9068450657781880e-05  4.3611932370843680e-03  1  1.0193192446693655e+00  0.0000000000000000e+00  2.4763243173147194e-03  nan  1  5  5  2.0252974251611458e-05  0.0000000000000000e+00  0
4.7199999999971601e+02  0.0000000000000000e+00  1.9654209090278233e-03  1  1.0194018999402448e+00  0.0000000000000000e+00  2.5543585983297617e-03  nan  1  5  5  7.3473934680185896e-06  0.0000000000000000e+00  0
4.7599999999971197e+02  0.0000000000000000e+00  2.3481420364705277e-03  1  1.0194674682072333e+00  0.0000000000000000e+00  2.5810045626973536e-03  nan  1  5  5  9.1612195926333354e-06  0.0000000000000000e+00  0
4.7999999999970800e+02  0.0000000000000000e+00  2.7260586843499040e-03  1  1.0195831594712037e+00  0.0000000000000000e+00  2.6155167784883311e-03  nan  1  5  5  1.1009579686111886e-05  0.0000000000000000e+00  0
4.8399999999970498e+02  0.0000000000000000e+00  3.1017041569094926e-03  1  1.0196212655867039e+00  0.0000000000000000e+00  2.6472589809793758e-03  nan  1  5  5  1.2852384183727232e-05  0.0000000000000000e+00  0
4.8799999999970100e+02  0.0000000000000000e+00  3.4759704590233320e-03  1  1.0197535598202310e+00  0.0000000000000000e+00  2.6726198035848529e-03  nan  1  5  5  1.4677512794245643e-05  0.0000000000000000e+00  0
4.9199999999969799e+02  0.0000000000000000e+00  3.8504990050426519e-03  1  1.0198183507627128e+00  0.0000000000000000e+00  2.6760326687745180e-03  nan  1  5  5  1.6516227702311832e-05  0.0000000000000000e+00  0
4.9599999999969401e+02  0.0000000000000000e+00  4.2254368223680764e-03  1  1.0199154563992427e+00  0.0000000000000000e+00  2.6549731116702192e-03  nan  1  5  5  1.8380092280150854e-05  0.0000000000000000e+00  0
