# time  total_activity  peak_activity  rms_radius  confined_frac  bary_x  bary_y  bary_z  r_conf  total_activity_proper  rms_radius_proper  confined_frac_proper  rms_radius_canon  confined_frac_canon  rms_radius_phantom  confined_frac_phantom  canon_mass_frac  min_chi
3.3599999999983902e+02  1.0970823735373386e+01  2.4292889639663529e-02  7.4745815933862003e+00  2.1751705194055779e-01  3.2109395967841316e+01  3.1999905995151117e+01  3.1999942340522495e+01  4.7999999999999998e+00  1.0972205084044962e+01  7.4745213869517526e+00  2.1638907631771628e-01  5.1447295126111481e+00  7.4911422337210110e-01  5.1632122384069037e+00  7.4188492504198389e-01  4.8956627672260888e-01  9.8788783077142694e-01
3.3999999999983601e+02  1.1015338789482971e+01  2.4278963264375397e-02  7.5019291326466986e+00  2.1512922120352040e-01  3.2306567925856633e+01  3.1999902566810988e+01  3.1999940469106829e+01  4.7999999999999998e+00  1.1016696280964716e+01  7.5018604420366550e+00  2.1471593577669623e-01  5.1596563442144454e+00  7.4905844732120141e-01  5.1845280532253071e+00  7.3918808615872655e-01  4.8955152601466956e-01  9.8787546453493658e-01
3.4399999999983203e+02  1.1051463126375461e+01  2.4276973186445502e-02  7.5202153317853373e+00  2.0764817409752956e-01  3.2504394428813221e+01  3.1999899009197769e+01  3.1999938531481266e+01  4.7999999999999998e+00  1.1052789883364419e+01  7.5201489962087180e+00  2.0992084942221600e-01  5.1625414611983507e+00  7.4985783965298936e-01  5.1904662181451116e+00  7.4193853318082414e-01  4.8949859395746331e-01  9.8781960434033511e-01
3.4799999999982901e+02  1.1090288643516431e+01  2.4272302760467133e-02  7.5431235367980527e+00  2.1071423306591319e-01  3.2702705504930975e+01  3.1999895277655558e+01  3.1999936484959992e+01  4.7999999999999998e+00  1.1091584372179863e+01  7.5430714910675212e+00  2.0850150412745300e-01  5.1657046353032650e+00  7.4982037070943852e-01  5.2037066877859433e+00  7.4196006107525503e-01  4.8937903267272514e-01  9.8779256922120551e-01
3.5199999999982498e+02  1.1139049490570258e+01  2.4259657207280270e-02  7.5744249108422039e+00  2.0691860872225906e-01  3.2903693339059863e+01  3.1999891564604727e+01  3.1999934438853085e+01  4.7999999999999998e+00  1.1140318093057761e+01  7.5743840806579232e+00  2.0749401318229910e-01  5.1791249638190493e+00  7.4858148895394505e-01  5.2274736300719873e+00  7.3939551503313317e-01  4.8928485185170001e-01  9.8775276279269664e-01
3.5599999999982100e+02  1.1188335855070452e+01  2.4262308941043229e-02  7.6004840082429626e+00  2.0409668443402418e-01  3.3107283218122689e+01  3.1999887825781919e+01  3.1999932395237032e+01  4.7999999999999998e+00  1.1189577990135586e+01  7.6004512881270143e+00  2.0300421204601349e-01  5.1897432276739686e+00  7.4759782114189877e-01  5.2394118147344626e+00  7.4081821548422244e-01  4.8925220130721264e-01  9.8771372952494851e-01
3.5999999999981799e+02  1.1228331894560432e+01  2.4243189097051580e-02  7.6154598785895882e+00  2.0158752892110524e-01  3.3313278352911752e+01  3.1999884000593656e+01  3.1999930323371871e+01  4.7999999999999998e+00  1.1229536702145928e+01  7.6154339369127708e+00  2.0121872711552605e-01  5.1843620423526904e+00  7.4597949979098177e-01  5.2345839871769488e+00  7.4166583231210093e-01  4.8923530298199819e-01  9.8768626550232197e-01
3.6399999999981401e+02  1.1260881391527370e+01  2.4251305824851209e-02  7.6244748841750711e+00  1.9815988610003460e-01  3.3520658686258841e+01  3.1999879979047929e+01  3.1999928145410184e+01  4.7999999999999998e+00  1.1262042791091645e+01  7.6244612606820281e+00  1.9832147049824939e-01  5.1649034305652473e+00  7.4823442927092965e-01  5.2218810607573944e+00  7.4164699618390895e-01  4.8916802049636321e-01  9.8763663699970838e-01
3.6799999999980997e+02  1.1300333652198333e+01  2.4227493247334562e-02  7.6410986105331800e+00  1.9477546658794681e-01  3.3730204474174570e+01  3.1999875892308474e+01  3.1999925909275461e+01  4.7999999999999998e+00  1.1301456613195093e+01  7.6410975275991611e+00  1.9629910564734307e-01  5.1523185680036985e+00  7.5043722903689936e-01  5.2182661262547843e+00  7.4076540226947774e-01  4.8907327625694569e-01  9.8761713076044355e-01
3.7199999999980702e+02  1.1350378849811968e+01  2.4238777948318978e-02  7.6638521926930334e+00  1.9056996779939517e-01  3.1946365544903031e+01  3.1999871780337145e+01  3.1999923663625800e+01  4.7999999999999998e+00  1.1351470514541164e+01  7.6638306261589531e+00  1.8763385797859974e-01  5.1436852468082312e+00  7.4796032646501476e-01  5.2262681451485671e+00  7.4161238578503375e-01  4.8898666624861448e-01  9.8755902614747926e-01
3.7599999999980298e+02  1.1398019053771751e+01  2.4214465652241886e-02  7.6725954073246605e+00  1.8852604944984763e-01  3.2164331238350286e+01  3.1999867605147305e+01  3.1999921408571289e+01  4.7999999999999998e+00  1.1399073647571438e+01  7.6725554986215556e+00  1.8837169154307612e-01  5.1254533261464577e+00  7.4956219763489085e-01  5.2036223044581194e+00  7.4070544261302640e-01  4.8894647138117425e-01  9.8754503959704998e-01
3.7999999999979900e+02  1.1435138450409401e+01  2.4227717596571687e-02  7.6785208616431930e+00  1.8451393217034603e-01  3.2382839940488488e+01  3.1999863258696816e+01  3.1999919084476357e+01  4.7999999999999998e+00  1.1436144397823735e+01  7.6784730484648254e+00  1.8414094681041704e-01  5.1056347247188434e+00  7.4783528016192025e-01  5.1747119265291035e+00  7.4075163288834867e-01  4.8890923004882286e-01  9.8748152844818871e-01
3.8399999999979599e+02  1.1466903601121196e+01  2.4202876359899764e-02  7.6834102712184889e+00  1.8314138960329404e-01  3.2601579985553158e+01  3.1999858711393500e+01  3.1999916659008111e+01  4.7999999999999998e+00  1.1467857563799932e+01  7.6833683231463938e+00  1.8219630313014551e-01  5.0808175471071166e+00  7.5020422038125001e-01  5.1421282074482439e+00  7.3887528106889722e-01  4.8885227839453027e-01  9.8746943095605855e-01
3.8799999999979201e+02  1.1509653190781766e+01  2.4214412795954272e-02  7.6983025947960941e+00  1.8013136983358433e-01  3.2822783815065314e+01  3.1999854163534241e+01  3.1999914217725287e+01  4.7999999999999998e+00  1.1510562822756695e+01  7.6982646107098143e+00  1.7795108913238736e-01  5.0658745404063579e+00  7.4837735763197555e-01  5.1214182847188816e+00  7.4131922121290916e-01  4.8882192047762557e-01  9.8740156763553921e-01
3.9199999999978797e+02  1.1562471378982668e+01  2.4192870231083689e-02  7.7205324624189311e+00  1.7455213557353258e-01  3.3046023785553096e+01  3.1999849577159345e+01  3.1999911771154760e+01  4.7999999999999998e+00  1.1563338012542772e+01  7.7204982880223767e+00  1.7617743796646196e-01  5.0575073462024411e+00  7.4603631234182344e-01  5.1137178161661598e+00  7.4131800884419496e-01  4.8874740654162796e-01  9.8738899188295304e-01
3.9599999999978502e+02  1.1611335156493297e+01  2.4202300817317352e-02  7.7418245678543913e+00  1.7247764592211667e-01  3.3271143825203751e+01  3.1999844796917237e+01  3.1999909271988308e+01  4.7999999999999998e+00  1.1612151645957105e+01  7.7417940964150445e+00  1.7198864926840213e-01  5.0505646944013503e+00  7.4733080286002818e-01  5.1050746395868121e+00  7.4028765807001484e-01  4.8867087765700279e-01  9.8732229290880269e-01
