#   time = 90.140000,       r = 14.000000
#      theta         phi            Weyl4_Re            Weyl4_Im
   0.6108652   3.6651914    1.1271316630e-04    8.0988435059e-04
   0.6108652   3.9269908   -4.5382174867e-04    6.7867939209e-04
   0.6108652   4.1887902   -7.3660028673e-04    3.7157889728e-04
   0.6108652   4.4505896   -7.5447376987e-04    1.2701855053e-05
   0.6108652   4.7123890   -7.5315960701e-04   -2.9935172521e-04
   0.6108652   4.9741884   -4.9999377249e-04   -5.2548269066e-04
   0.6108652   5.2359878   -2.2339516018e-04   -5.2688749705e-04
   0.6108652   5.4977871   -8.2161302283e-06   -5.0833001576e-04
   0.6108652   5.7595865    2.1823147136e-04   -3.9328785396e-04
   0.6108652   6.0213859    5.6125583665e-04   -3.3019158100e-04
   0.6981317   0.0000000    6.0717489433e-04    5.5965974329e-05
   0.6981317   0.2617994    4.7554057821e-04    4.5954377209e-04
   0.6981317   0.5235988    1.1390807551e-04    7.4887299186e-04
   0.6981317   0.7853982   -4.1693632470e-04    7.6096079769e-04
   0.6981317   1.0471976   -8.4042037712e-04    4.9855940913e-04
   0.6981317   1.3089969   -7.4858124615e-04    2.8376538747e-05
   0.6981317   1.5707963   -7.3738272724e-04   -2.2253337461e-04
   0.6981317   1.8325957   -4.8967167225e-04   -4.1413363385e-04
   0.6981317   2.0943951   -2.1254064037e-04   -4.2200505831e-04
   0.6981317   2.3561945   -5.6602322095e-05   -5.4985407219e-04
   0.6981317   2.6179939    7.8614080705e-05   -3.6490668096e-04
   0.6981317   2.8797933    4.4976305291e-04   -3.0561808451e-04
   0.6981317   3.1415927    5.7106522256e-04    3.4202305249e-05
   0.6981317   3.4033920    4.7623660093e-04    4.5853391707e-04
   0.6981317   3.6651914    1.1064918870e-04    7.4478443746e-04
   0.6981317   3.9269908   -4.1776313087e-04    7.5820652668e-04
   0.6981317   4.1887902   -8.3820455102e-04    4.9501625926e-04
   0.6981317   4.4505896   -7.4269553242e-04    2.4075296389e-05
   0.6981317   4.7123890   -7.0292511664e-04   -2.2329463877e-04
   0.6981317   4.9741884   -4.8861152536e-04   -4.1353177237e-04
   0.6981317   5.2359878   -2.1237269922e-04   -4.2145280871e-04
   0.6981317   5.4977871   -5.8199066548e-05   -5.4294212789e-04
   0.6981317   5.7595865    7.8709756501e-05   -3.6474230031e-04
   0.6981317   6.0213859    4.5061417332e-04   -3.0463290978e-04
   0.7853982   0.0000000    4.4852129095e-04    2.8790041525e-04
   0.7853982   0.2617994    1.2192692195e-04    2.5465244190e-04
   0.7853982   0.5235988    2.2652210689e-04    1.1026012566e-03
   0.7853982   0.7853982   -4.3800896842e-04    8.0534168947e-04
   0.7853982   1.0471976   -9.5085630312e-04    2.1363919542e-04
   0.7853982   1.3089969   -7.9679373338e-04   -9.0466929757e-05
   0.7853982   1.5707963   -6.2980797525e-04   -8.8382426580e-05
   0.7853982   1.8325957   -5.5519496214e-04   -3.9601501928e-04
   0.7853982   2.0943951   -1.4329289084e-04   -3.1004764760e-04
   0.7853982   2.3561945   -2.1959949502e-04   -5.6332518570e-04
   0.7853982   2.6179939   -1.6794972612e-04   -5.3091355111e-04
   0.7853982   2.8797933    5.2813747786e-04   -2.0664112164e-04
   0.7853982   3.1415927    4.1813763196e-04    3.8373066633e-04
   0.7853982   3.4033920    1.3437851391e-04    2.6321237545e-04
   0.7853982   3.6651914    2.6380829500e-04    1.0598288900e-03
   0.7853982   3.9269908   -4.5257886798e-04    8.0911452669e-04
   0.7853982   4.1887902   -9.3722796590e-04    2.0928699222e-04
   0.7853982   4.4505896   -8.1618645736e-04   -8.2609493038e-05
   0.7853982   4.7123890   -6.2750609170e-04   -8.3075692590e-05
   0.7853982   4.9741884   -5.4881994090e-04   -3.9727409776e-04
   0.7853982   5.2359878   -1.3021509810e-04   -3.3043088561e-04
   0.7853982   5.4977871   -1.9504628350e-04   -5.4785909033e-04
   0.7853982   5.7595865   -1.7494725140e-04   -5.3005537081e-04
   0.7853982   6.0213859    5.3677654819e-04   -1.9879346015e-04
